user_id,followers_count,official,top_user,high_quality
1639498782,18200948,1,1,1
5581618618,15,0,0,0
5720846370,78639,1,0,0
1887259304,8093183,1,1,1
2590508300,1494987,1,1,0
5193552442,45384,1,0,0
5821241824,2243486,1,0,1
7567711638,2455890,1,1,1
1700715830,735912,1,1,1
3021918593,359399,1,1,0
2541592687,3855539,1,1,0
1688383542,1220059,0,1,1
3316903742,41618,1,0,0
3281998402,210756,0,1,1
1910612140,476022,1,1,1
5542015346,106379,0,0,0
2052120021,904236,0,1,0
5908906616,26241,1,0,1
1900412195,334665,1,1,0
1765896480,1314547,1,1,1
3736471253,533721,0,0,1
1904947977,1983861,0,1,1
2518353303,784977,1,1,0
3804173419,118347,1,0,1
7126605018,9576,1,0,0
2057281547,420,0,0,0
5892537259,251522,0,0,1
3285482562,13630,1,0,1
6524418722,774550,1,1,1
6524418720,996865,1,1,1
1571743761,1543665,1,1,1
1308405950,1367870,1,1,1
2638479260,96532,1,0,0
2308711425,600268,1,1,1
3599647027,159261,1,1,0
6514393320,48087,0,0,1
3912707918,269325,1,0,0
2208160981,442363,1,1,1
1750355192,580068,0,1,1
3738879412,167504,0,1,1
1882137803,1413770,1,1,1
2255706173,647660,1,1,0
1876265021,1301596,1,1,1
1830153003,599895,0,0,1
1643971635,14912730,1,1,1
1644948230,27474475,1,1,1
1938066267,19504,0,0,0
2638184121,47976,1,0,0
6351705477,1643786,1,1,1
2549578244,457208,1,1,0
1902256024,44425,0,0,1
6582978311,1501270,1,1,1
1212560101,3830,0,0,0
5652470745,294222,1,0,1
2242064182,73802,0,0,1
1740557654,2741760,1,1,1
3224495513,109158,0,0,1
7848827195,8161,1,0,0
1447712623,590686,0,1,1
1085446293,202,0,0,0
1045297955,296,0,0,0
5983324736,12258,1,0,0
1841662844,161468,0,1,1
6457605594,34699,0,0,1
2789752472,49845,0,0,0
3754291970,209299,1,1,1
2698146894,4734899,1,1,1
2634501581,163499,1,0,0
2125939111,1236704,1,1,0
1913366611,639074,0,1,1
1735937570,11297591,1,1,1
5659349251,94021,0,0,0
5352617904,800,0,0,0
6255818063,39,0,0,0
5214249654,326171,0,0,1
1746067030,3352414,1,1,1
1599786681,6183,0,0,0
1145981504,3205,1,0,0
1874867857,167577,1,0,1
7223073807,1043,0,0,0
1905653985,1239355,1,1,1
5094832180,82,0,0,0
2476121622,1385538,1,1,1
7749823321,290502,1,1,0
